DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,NBR_VZ_INITIATIVES,EPSILON,SAMPLES
2016-03-12,8:00,QUEENS,11101.0,40.7492975,-73.9494146,"(40.7492975, -73.9494146)",11 STREET                       ,44 ROAD                         ,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,3404416,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,3,5,0,0.2,20
2014-03-10,6:45,,,40.60567320000001,-74.03093609999998,"(40.6056732, -74.0309361)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,2958036,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,3,0,0,0.2,20
2012-08-28,14:30,BROOKLYN,11223.0,40.6098793,-73.9633719,"(40.6098793, -73.9633719)",AVENUE P                        ,EAST 10 STREET                  ,,0,0,0,0,0,0,0,0,Physical Disability,Physical Disability,Unspecified,,,116840,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2012,8,1,4,0.2,20
2017-07-10,20:20,QUEENS,11428.0,40.715145,-73.74935,"(40.715145, -73.74935)",211 STREET                      ,JAMAICA AVENUE,,3,0,0,0,0,0,3,0,Illness,Unspecified,Unspecified,Unspecified,,3708455,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2017,7,0,3,0.2,20
2014-03-09,23:55,QUEENS,11420.0,40.678574,-73.8281139,"(40.678574, -73.8281139)",111 STREET                      ,111 AVENUE                      ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,233109,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,3,6,0,0.2,20
2013-08-27,8:40,BROOKLYN,11208.0,40.6872498,-73.87197009999998,"(40.6872498, -73.8719701)",HEMLOCK STREET                  ,ETNA STREET                     ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,168417,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,8,1,1,0.2,20
2016-04-03,20:00,BROOKLYN,11221.0,40.690002,-73.937304,"(40.690002, -73.937304)",                                ,                                ,777 GREENE AVENUE                       ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3420309,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2016,4,6,3,0.2,20
2015-10-28,3:20,BROOKLYN,11223.0,40.599362,-73.9657579,"(40.599362, -73.9657579)",,,F/O 2025 OCEAN PARKWAY                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3323938,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2015,10,2,4,0.2,20
2013-07-09,17:40,,,40.7345017,-73.7228586,"(40.7345017, -73.7228586)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3017649,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7,1,0,0.2,20
2013-08-23,16:07,,,40.6735659,-73.8015156,"(40.6735659, -73.8015156)",,,,3,0,0,0,0,0,3,0,Turning Improperly,Unspecified,Unspecified,,,3097310,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,8,4,0,0.2,20
2012-11-17,14:30,MANHATTAN,10007.0,40.71305570000001,-74.0072251,"(40.7130557, -74.0072251)",BROADWAY                        ,MURRAY STREET                   ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,1252,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,11,5,0,0.2,20
2018-03-24,0:00,BROOKLYN,11230.0,40.615314,-73.96236999999998,"(40.615314, -73.96237)",AVENUE N                        ,EAST 12 STREET,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,Unspecified,,,3869097,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2018,3,5,3,0.2,20
2015-10-16,21:00,BROOKLYN,11228.0,40.6032389,-74.0162271,"(40.6032389, -74.0162271)",BAY 8 STREET                    ,SHORE PARKWAY                   ,,0,0,0,0,0,0,0,0,Animals Action,Unspecified,Unspecified,Unspecified,,3316961,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,10,4,0,0.2,20
2014-03-01,22:30,BROOKLYN,11223.0,40.5943649,-73.9608887,"(40.5943649, -73.9608887)",CONEY ISLAND AVENUE             ,GRAVESEND NECK ROAD             ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,121318,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2014,3,5,5,0.2,20
2014-03-01,8:00,STATEN ISLAND,10301.0,40.6470277,-74.086969,"(40.6470277, -74.086969)",WESTERVELT AVENUE               ,CARROLL PLACE                   ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,290674,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,3,5,1,0.2,20
2014-07-12,14:30,,,40.7364144,-73.7418227,"(40.7364144, -73.7418227)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Unspecified,,,3018576,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,7,5,0,0.2,20
2013-06-21,1:30,STATEN ISLAND,10304.0,40.6087258,-74.0883777,"(40.6087258, -74.0883777)",NARROWS ROAD NORTH              ,TARGEE STREET                   ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,288609,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2013,6,4,2,0.2,20
2017-08-20,14:30,QUEENS,11385.0,40.700737,-73.9042,"(40.700737, -73.9042)",SENECA AVENUE                   ,CATALPA AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,3734124,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2017,8,6,5,0.2,20
