DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,EPSILON,SAMPLES,NBR_VZ_INITIATIVES
2017-02-23,8:00,MANHATTAN,10025.0,40.798717,-73.95954,"(40.798717, -73.95954)",CENTRAL PARK WEST               ,WEST 107 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3621028,TAXI,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2017,2,3,0.1,10,1
2017-02-13,17:50,BROOKLYN,11224.0,40.575573,-73.980804,"(40.575573, -73.980804)",,,1243      SURF AVENUE                   ,1,0,1,0,0,0,0,0,Unspecified,,,,,3723872,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2,0,0.1,10,0
2017-02-04,9:55,QUEENS,11355.0,40.754272,-73.81772600000002,"(40.754272, -73.817726)",SMART STREET                    ,45 AVENUE,,1,0,1,0,0,0,0,0,Glare,,,,,3609529,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,2,5,0.1,10,1
2017-01-27,10:35,BRONX,10455.0,40.81888,-73.916504,"(40.81888, -73.916504)",MELROSE AVENUE                  ,EAST 153 STREET,,1,0,2,0,0,0,0,0,Unspecified,,,,,3606373,BICYCLE,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2017,1,4,0.1,10,3
2016-12-25,17:20,QUEENS,11428.0,40.7152524,-73.7489007,"(40.7152524, -73.7489007)",,,211-15    JAMAICA AVENUE                ,1,0,1,0,0,0,0,0,,,,,,3586186,PASSENGER VEHICLE,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2016,12,6,0.1,10,3
2016-10-22,10:10,BROOKLYN,11219.0,40.6210427,-73.9994921,"(40.6210427, -73.9994921)",15 AVENUE                       ,BAY RIDGE AVENUE,,1,0,0,0,1,0,0,0,View Obstructed/Limited,Driver Inattention/Distraction,,,,3545393,PASSENGER VEHICLE,BICYCLE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,10,5,0.1,10,0
2013-09-25,8:13,BRONX,10461.0,40.8503039,-73.85136750000002,"(40.8503039, -73.8513675)",WILLIAMSBRIDGE ROAD             ,MORRIS PARK AVENUE              ,,1,0,1,0,0,0,0,0,Unspecified,,,,,105779,PASSENGER VEHICLE,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2013,9,2,0.1,10,3
2016-12-09,17:28,BROOKLYN,11216.0,40.6718671,-73.95440479999998,"(40.6718671, -73.9544048)",,,715       SAINT JOHNS PLACE             ,2,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3576829,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2016,12,4,0.1,10,2
2016-11-08,17:11,QUEENS,11101.0,40.73620070000001,-73.9351929,"(40.7362007, -73.9351929)",BRADLEY AVENUE                  ,35 STREET,,1,0,1,0,0,0,0,0,Turning Improperly,,,,,3558807,SPORT UTILITY / STATION WAGON,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,11,1,0.1,10,0
2016-10-07,12:10,BROOKLYN,11238.0,40.68782,-73.9626945,"(40.68782, -73.9626945)",CLIFTON PLACE                   ,GRAND AVENUE,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3535600,PICK-UP TRUCK,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2016,10,4,0.1,10,2
2016-09-01,18:09,BRONX,10458.0,40.8607135,-73.8895385,"(40.8607135, -73.8895385)",,,462       EAST FORDHAM ROAD             ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3533279,BICYCLE,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2016,9,3,0.1,10,2
2016-07-25,15:35,BRONX,10452.0,40.838483,-73.92581259999999,"(40.838483, -73.9258126)",                                ,                                ,143 WEST 168 STREET                     ,1,0,1,0,0,0,0,0,Unspecified,,,,,3488183,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2016,7,0,0.1,10,1
2016-05-09,16:30,BROOKLYN,11225.0,40.6691898,-73.9585161,"(40.6691898, -73.9585161)",                                ,                                ,846 FRANKLIN AVENUE                     ,2,0,2,0,0,0,0,0,Unspecified,,,,,3438416,PASSENGER VEHICLE,,,,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2016,5,0,0.1,10,3
2017-01-11,13:00,MANHATTAN,10013.0,40.7263101,-74.00749,"(40.7263101, -74.00749)",,,315       HUDSON STREET                 ,1,0,1,0,0,0,0,0,,,,,,3596555,TAXI,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,2,0.1,10,0
