Unnamed: 0,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,DATENew,year,month,DAY_OF_WEEK,hour,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEADING_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SIP_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,NBR_VZ_INITIATIVES,TOTAL_INJURED,TOTAL_KILLED,EPSILON,SAMPLES
465340,02/11/2016,2018-03-24 11:45:00,BROOKLYN,11205.0,40.693119200000005,-73.968811,"(40.6931192, -73.968811)",MYRTLE AVENUE                   ,CLINTON AVENUE                  ,,1,0,0,0,1,0,0,0,Lost Consciousness,Driver Inattention/Distraction,Unspecified,,,3389623,PASSENGER VEHICLE,BICYCLE,UNKNOWN,,,2016-02-11,2016,2,3,11,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,2,0,0.2,60
186642,05/08/2017,2018-03-24 13:00:00,,,40.825905,-73.94712,"(40.825905, -73.94712)",,,WEST 146 STREET                         ,1,0,1,0,0,0,0,0,Unspecified,,,,,3667926,BICYCLE,,,,,2017-05-08,2017,5,0,13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,4,2,0,0.2,60
54008,11/28/2017,2018-03-24 18:00:00,BROOKLYN,11223.0,40.609077,-73.9622,"(40.609077, -73.9622)",,,1973      CONEY ISLAND AVENUE           ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3799188,TAXI,,,,,2017-11-28,2017,11,1,18,1,0,1,1,0,0,0,0,1,0,0,1,0,1,6,2,0,0.2,60
712832,12/20/2014,2018-03-24 19:50:00,MANHATTAN,10023.0,40.778794,-73.9820547,"(40.778794, -73.9820547)",WEST 72 STREET                  ,BROADWAY                        ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3140551,SPORT UTILITY / STATION WAGON,,,,,2014-12-20,2014,12,5,19,1,0,0,0,0,0,0,0,1,0,1,1,1,0,5,2,0,0.2,60
61694,11/16/2017,2018-03-24 22:11:00,BROOKLYN,11220.0,40.636635,-74.00838,"(40.636635, -74.00838)",58 STREET                       ,8 AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3792539,SPORT UTILITY / STATION WAGON,,,,,2017-11-16,2017,11,3,22,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,0,0.2,60
101999,09/15/2017,2018-03-24 20:00:00,,,40.694687,-73.95521,"(40.694687, -73.95521)",SPENCER STREET                  ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3751621,TAXI,,,,,2017-09-15,2017,9,4,20,0,0,1,1,0,0,0,0,0,0,0,1,0,1,4,2,0,0.2,60
316973,10/06/2016,2018-03-24 16:10:00,QUEENS,11106.0,40.761599600000004,-73.9245879,"(40.7615996, -73.9245879)",BROADWAY                        ,32 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3536005,TAXI,,,,,2016-10-06,2016,10,3,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0.2,60
100318,09/17/2017,2018-03-24 10:15:00,BROOKLYN,11203.0,40.6513,-73.93035,"(40.6513, -73.93035)",,,888       UTICA AVENUE                  ,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3751888,BICYCLE,SPORT UTILITY / STATION WAGON,,,,2017-09-17,2017,9,6,10,1,0,1,1,0,0,0,0,1,0,1,1,0,0,6,2,0,0.2,60
390547,06/14/2016,2018-03-24 02:15:00,MANHATTAN,10026.0,40.804795399999996,-73.9541801,"(40.8047954, -73.9541801)",                                ,                                ,276 WEST 117 STREET                     ,1,0,1,0,0,0,0,0,Unspecified,,,,,3468677,PASSENGER VEHICLE,,,,,2016-06-14,2016,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,60
78302,10/22/2017,2018-03-24 22:45:00,,,40.687979999999996,-73.9678,"(40.68798, -73.9678)",CLINTON AVENUE                  ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3774488,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2017-10-22,2017,10,6,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0.2,60
